,1,2,3,4,5,6,7,8,9,10,11,12
A,blank,blank,blank,WT/WT,WT/WT,WT/WT,WT/R166Q,WT/R166Q,WT/R166Q,D27N/WT,D27N/WT,D27N/WT
B,F31Y/WT,F31Y/WT,F31Y/WT,M42F/WT,M42F/WT,M42F/WT,G121V/WT,G121V/WT,G121V/WT,D27N/R166Q,D27N/R166Q,D27N/R166Q
C,M42F/R166Q,M42F/R166Q,M42F/R166Q,G121V/R166Q,G121V/R166Q,G121V/R166Q,F31Y/R166Q,F31Y/R166Q,F31Y/R166Q,F31Y.G121V/WT,F31Y.G121V/WT,F31Y.G121V/WT
D,F31Y.G121V/R166Q,F31Y.G121V/R166Q,F31Y.G121V/R166Q,M42F.G121V/WT,M42F.G121V/WT,M42F.G121V/WT,M42F.G121V/R166Q,M42F.G121V/R166Q,M42F.G121V/R166Q,WT/Q33S,WT/Q33S,WT/Q33S
E,D27N/Q33S,D27N/Q33S,D27N/Q33S,F31Y/Q33S,F31Y/Q33S,F31Y/Q33S,M42F/Q33S,M42F/Q33S,M42F/Q33S,G121V/Q33S,G121V/Q33S,G121V/Q33S
F,F31Y.G121V/Q33S,F31Y.G121V/Q33S,F31Y.G121V/Q33S,M42F.G121V/Q33S,M42F.G121V/Q33S,M42F.G121V/Q33S,WT/R127A,WT/R127A,WT/R127A,D27N/R127A,D27N/R127A,D27N/R127A
G,F31Y/R127A,F31Y/R127A,F31Y/R127A,M42F/R127A,M42F/R127A,M42F/R127A,G121V/R127A,G121V/R127A,G121V/R127A,F31Y.G121V/R127A,F31Y.G121V/R127A,F31Y.G121V/R127A
H,M42F.G121V/R127A,M42F.G121V/R127A,M42F.G121V/R127A,ER2566WT,ER2566WT,ER2566WT,ER2566DfolADthyA,ER2566DfolADthyA,ER2566DfolADthyA,blank,blank,blank
