row,1,2,3,4,5,6,7,8,9,10,11,12
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,453,453,453,454,454,454,455,455,455,empty,empty
C,empty,456,456,456,457,457,457,458,458,458,empty,empty
D,empty,459,459,459,460,460,460,461,461,461,empty,empty
E,empty,463,463,463,464,464,464,465,465,465,empty,empty
F,empty,466,466,466,471,471,471,(+),(+),(+),empty,empty
G,empty,(-),(-),(-),M9T,M9T,M9T,M9CT,M9CT,M9CT,empty,empty
H,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
