row,1,2,3,4,5,6,7,8,9,10,11,12
A,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
B,empty,472,472,472,473,473,473,474,474,474,empty,empty
C,empty,475,475,475,476,476,476,478,478,478,empty,empty
D,empty,479,479,479,480,480,480,481,481,481,empty,empty
E,empty,501,501,501,502,502,502,503,503,503,empty,empty
F,empty,538,538,538,539,539,539,(+),(+),(+),empty,empty
G,empty,(-),(-),(-),M9T,M9T,M9T,M9CT,M9CT,M9CT,empty,empty
H,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
